cycle_id,r04_grab_count,r03_nose_peak,r03_nose_fwhm,r03_nose_impulse,label
1_3,5,5417.0,4.3,16959.091558441556,Normal
1_4,5,5461.0,5.1,19807.049466559656,Normal
1_5,5,5338.0,4.3,16551.526517571885,Normal
1_6,5,5143.0,4.2,15641.683168316831,Normal
2_1,5,7860.0,2.9,19207.152631578945,Normal
2_10,5,6997.0,4.5,17961.82186495177,Normal
2_11,5,5367.0,4.3,16886.902127659574,Normal
2_12,5,5370.0,4.3,16802.543455497384,Normal
2_13,5,6017.0,4.1,18691.20541871921,Normal
2_14,5,4086.0,4.1,10885.258734177216,Normal
2_15,5,1414.0,2.4,78.6,NoNose
2_2,5,5340.0,4.3,16665.8711409396,Normal
2_3,5,5410.0,4.4,17402.1375,Normal
2_4,5,7111.0,3.9,19291.07638190955,Normal
2_5,5,4183.0,1.8,5098.043132530121,Normal
2_6,5,5342.0,4.4,16663.062664165103,Normal
2_7,5,7079.0,4.5,17908.2535861666,Normal
2_8,5,6222.0,4.6,11992.456818181818,Normal
2_9,5,5319.0,4.3,16519.724252491695,Normal
3_1,5,1399.0,2.2,73.4,NoNose
3_10,5,1400.0,1.0,75.3,NoNose
3_11,4,1396.0,1.3,81.8,NoNose
3_2,5,1403.0,2.7,77.0,NoNose
3_3,5,1397.0,1.3,71.3,NoNose
3_4,5,1392.0,2.5,81.1,NoNose
3_5,5,1398.0,2.5,79.3,NoNose
3_6,5,1393.0,1.4,71.7,NoNose
3_7,5,1400.0,1.5,55.1,NoNose
3_8,5,1399.0,1.0,82.8,NoNose
3_9,5,1407.0,0.9,59.8,NoNose
4_1,4,1397.0,1.9,80.3,NoNose
4_10,3,1408.0,1.6,67.5,NoNose
4_11,5,1397.0,2.3,70.8,NoNose
4_12,5,1401.0,2.2,73.45,NoNose
4_13,5,1392.0,1.6,67.8,NoNose
4_14,5,1400.0,1.8,73.8,NoNose
4_15,5,1394.0,0.8,65.2,NoNose
4_2,5,7583.0,4.1,21996.484470768504,NoNose
4_3,5,1397.0,1.0,88.9,NoNose
4_4,5,1409.0,1.8,74.0,NoNose
4_5,5,1396.0,0.8,70.3,NoNose
4_6,5,1402.0,2.9,80.5,NoNose
4_7,5,1400.0,1.8,89.7,NoNose
4_8,5,1403.0,2.3,80.1,NoNose
4_9,5,1401.0,0.5,100.2,NoNose
5_1,5,1403.0,1.8,71.4,NoNose
5_10,5,1391.0,1.2,59.3,"NoNose,NoBody2"
5_100,9,1394.0,1.9,62.8,"NoNose,NoBody2,NoBody1"
5_101,6,1398.0,1.1,52.8,"NoNose,NoBody2,NoBody1"
5_102,9,1404.0,1.5,63.3,"NoNose,NoBody2,NoBody1"
5_103,9,1390.0,1.6,53.4,"NoNose,NoBody2,NoBody1"
5_104,9,1398.0,1.3,59.9,"NoNose,NoBody2,NoBody1"
5_105,9,1392.0,2.0,54.3,"NoNose,NoBody2,NoBody1"
5_106,9,1403.0,0.4,56.9,"NoNose,NoBody2,NoBody1"
5_107,9,1385.0,0.3,53.05,"NoNose,NoBody2,NoBody1"
5_108,9,1392.0,1.1,59.4,"NoNose,NoBody2,NoBody1"
5_109,9,1389.0,0.6,63.9,"NoNose,NoBody2,NoBody1"
5_11,7,1401.0,0.8,62.0,"NoNose,NoBody2"
5_110,9,1392.0,1.7,56.0,"NoNose,NoBody2,NoBody1"
5_111,5,1397.0,1.8,60.0,"NoNose,NoBody2,NoBody1"
5_112,9,1385.0,1.0,62.1,"NoNose,NoBody2,NoBody1"
5_113,9,1394.0,1.1,58.4,"NoNose,NoBody2,NoBody1"
5_114,9,1387.0,1.0,48.1,"NoNose,NoBody2,NoBody1"
5_115,5,6825.0,6.6,35302.07462686567,Normal
5_116,5,4689.0,4.1,13216.385618729098,Normal
5_117,5,4909.0,4.0,14105.075,Normal
5_118,5,4930.0,4.1,14120.581012658227,Normal
5_119,5,4920.0,4.1,14217.765743944638,Normal
5_12,7,1398.0,0.9,55.7,"NoNose,NoBody2"
5_120,5,4973.0,4.2,14775.603030303031,Normal
5_121,5,4933.0,4.1,14482.361881188117,Normal
5_122,5,6723.0,4.5,19563.9,Normal
5_123,5,5018.0,4.2,15062.418705035972,Normal
5_124,5,7007.0,7.0,18167.552808988763,Normal
5_125,5,4958.0,4.2,14869.696491228071,Normal
5_126,5,4894.0,4.1,14143.878923766815,Normal
5_127,5,4906.0,3.8,13682.575980392157,Normal
5_128,5,4852.0,4.2,14452.627722772279,Normal
5_129,5,4899.0,4.4,15206.203973509935,Normal
5_13,7,1403.0,1.6,69.0,"NoNose,NoBody2"
5_130,5,4715.0,4.4,14059.277317073173,Normal
5_131,5,4963.0,4.1,14681.838227848104,Normal
5_132,5,4256.0,4.1,11632.487218045113,Normal
5_133,5,6756.0,4.3,15288.400913242009,Normal
5_134,5,4689.0,4.0,12928.798107255521,Normal
5_135,5,4965.0,4.1,14525.384228187919,Normal
5_136,5,4911.0,4.0,14209.613819095477,Normal
5_137,5,6717.0,4.1,14577.45,Normal
5_138,5,4815.0,4.0,13569.840065146582,Normal
5_139,5,6818.0,3.9,17022.627102803737,Normal
5_14,7,1403.0,0.8,56.0,"NoNose,NoBody2"
5_140,5,4848.0,4.2,14095.70473815461,Normal
5_141,5,6678.0,4.3,15190.701546391752,Normal
5_142,5,4903.0,4.2,14420.080874316942,Normal
5_143,5,4913.0,4.1,14343.492288557212,Normal
5_144,5,5979.0,6.4,29072.303200000002,Normal
5_145,5,4837.0,4.3,14507.83657142857,Normal
5_146,5,4750.0,4.1,13512.146909090909,Normal
5_147,5,3660.0,4.1,9065.68,Normal
5_148,5,4808.0,4.2,14099.648076923078,Normal
5_149,5,4878.0,4.3,14548.024940617577,Normal
5_15,6,1391.0,1.8,59.2,"NoNose,NoBody2"
5_150,5,4795.0,4.1,13815.113915857606,Normal
5_151,5,4879.0,4.0,13913.586597938143,Normal
5_152,5,4743.0,4.2,13721.38087248322,Normal
5_153,5,4874.0,4.3,14720.929906542058,Normal
5_154,5,4818.0,4.1,14192.503846153846,Normal
5_155,5,4886.0,4.3,14861.787697160884,Normal
5_156,5,4602.0,4.2,13248.17906976744,Normal
5_157,5,4004.0,4.1,10669.403702606147,Normal
5_158,5,4800.0,4.2,14099.13935483871,Normal
5_159,5,4938.0,4.3,14812.017482517482,Normal
5_16,7,1399.0,2.1,56.65,"NoNose,NoBody2"
5_160,5,4783.0,4.0,13240.773170731709,Normal
5_161,5,4004.0,4.1,10713.37282051282,Normal
5_162,4,4674.0,4.0,12764.875838926175,Normal
5_163,5,4867.0,4.3,14726.14327805115,Normal
5_164,5,4823.0,4.0,13524.086666666666,Normal
5_165,5,4909.0,4.0,13868.177635782748,Normal
5_166,5,4758.0,4.0,13241.588679245284,Normal
5_167,5,4840.0,4.0,13706.744408945688,Normal
5_168,5,4677.0,4.2,13259.88588587406,Normal
5_169,5,4853.0,4.3,14859.386967093533,Normal
5_17,7,1394.0,1.9,66.6,"NoNose,NoBody2"
