I_R01_Gripper_Load,I_R02_Gripper_Load,I_R03_Gripper_Load,I_R04_Gripper_Load,I_R03_Gripper_Pot,I_R04_Gripper_Pot,t,label,cycle_id
296.0,1281.0,1392.0,-121.0,2413.0,13224.0,0.0,Normal,5_184
321.0,1305.0,1371.0,882.0,2404.0,13228.0,0.495,Normal,5_184
337.0,1294.0,1369.0,146.0,2392.0,13115.0,0.982,Normal,5_184
378.0,1286.0,1369.0,125.0,2394.0,13134.0,1.5,Normal,5_184
368.0,1298.0,1383.0,-622.0,2408.0,13210.0,1.994,Normal,5_184
344.0,1317.0,1376.0,723.0,2411.0,13251.0,2.499,Normal,5_184
359.0,1304.0,1362.0,-199.0,2403.0,13314.0,2.996,Normal,5_184
384.0,1337.0,1384.0,-585.0,2412.0,13244.0,3.486,Normal,5_184
311.0,1302.0,1379.0,27.0,2413.0,13204.0,3.988,Normal,5_184
323.0,1302.0,1378.0,-587.0,2404.0,12830.0,4.489,Normal,5_184
385.0,1334.0,1388.0,1087.0,2407.0,13250.0,4.989,Normal,5_184
369.0,1313.0,1359.0,-674.0,2386.0,13231.0,5.492,Normal,5_184
378.0,1311.0,1359.0,-277.0,2389.0,13057.0,5.983,Normal,5_184
375.0,1309.0,1369.0,523.0,2403.0,13318.0,6.491,Normal,5_184
379.9042253521127,1281.0,1367.0,1050.0,2403.0,13245.0,6.992,Normal,5_184
358.0,1321.0,1373.0,1193.0,2397.0,13247.0,7.488,Normal,5_184
196.0,1327.0,1369.0,-979.0,2405.0,13226.0,7.986,Normal,5_184
344.0,1289.0,1371.0,-1212.0,2393.0,13188.0,8.484,Normal,5_184
352.0,1305.0,1357.0,263.0,2384.0,13198.0,8.984,Normal,5_184
376.0,1292.0,1387.0,-580.0,2409.0,13310.0,9.499,Normal,5_184
354.0,1288.0,1371.0,561.0,2399.0,13329.0,10.006,Normal,5_184
372.0,1298.0,1359.0,-296.0,2387.0,13252.0,10.489,Normal,5_184
367.0,1333.0,1352.0,-595.0,2386.0,13241.0,10.983,Normal,5_184
364.0,1325.0,1369.0,-1134.0,2399.0,13289.0,11.49,Normal,5_184
387.0,1295.0,1378.0,857.0,2410.0,13322.0,11.998,Normal,5_184
370.0,1314.0,1377.0,302.0,2404.0,13211.0,12.489,Normal,5_184
368.0,1313.0,1367.0,604.0,2393.0,13124.0,12.992,Normal,5_184
366.0,1313.0,1376.0,-1068.0,2407.0,13292.0,13.492,Normal,5_184
381.0,1313.0,1370.0,508.0,2406.0,13305.0,13.992,Normal,5_184
353.0,1313.0,1371.0,989.0,2398.0,13244.0,14.483,Normal,5_184
337.0,1292.0,1375.0,184.0,2412.0,13308.0,14.999,Normal,5_184
371.0,1313.0,1371.0,-405.0,2398.0,13237.0,15.49,Normal,5_184
